	Post.TCD.2	Post.TCD.4	Post.Propionate.7	Post.Propionate.3	Post.Propionate.8	Pre.Propionate.8	Pre.Propionate.4	Pre.Propionate.5	Pre.Propionate.6	Pre.Propionate.7	Pre.Propionate.1	Pre.Propionate.2	Pre.Propionate.3	Pre.TCD.4	Pre.TCD.3	Pre.TCD.2	Pre.TCD.1	Pre.PBS.8	Pre.PBS.7	Pre.PBS.6	Pre.PBS.5	Pre.PBS.4	Pre.PBS.3	Pre.PBS.2	Pre.PBS.1	Post.Propionate.2	Post.TCD.1	Post.Propionate.1	Post.Propionate.6	Post.PBS.8	Post.Propionate.4	Post.Propionate.5	Post.PBS.5	Post.PBS.4	Post.PBS.7	Post.PBS.6	Post.PBS.1	Post.TCD.3	Post.PBS.3	Post.PBS.2
Post.TCD.2	0.0	0.338278674302	0.56906125282	0.581467985424	0.536265833767	0.761495748742	0.648099947944	0.6425472844	0.702064896755	0.695471108798	0.672913413153	0.764098559778	0.642373763665	0.65313204928	0.698681242408	0.606541731737	0.702064896755	0.679246920007	0.664063855631	0.644456012493	0.749609578345	0.716987680028	0.661894846434	0.635085892764	0.67707791081	0.553704667708	0.338191913934	0.555700156169	0.655214298109	0.630747874371	0.620249869859	0.568020128405	0.491931285789	0.524553184106	0.64905431199	0.603852160333	0.513187575915	0.31112267916	0.555960437272	0.492018046157
Post.TCD.4	0.338278674302	0.0	0.56255422523	0.576522644456	0.53045288912	0.650442477876	0.492191566892	0.666406385563	0.660072878709	0.688790560472	0.616345653306	0.61617213257	0.584331077564	0.610012146452	0.638209266007	0.505986465383	0.661981606802	0.53453062641	0.524813465209	0.636907860489	0.663630053791	0.667707791081	0.507548152004	0.676904390075	0.737723407947	0.560211695298	0.208658684713	0.557522123894	0.627971542599	0.683671698768	0.614610445948	0.56862745098	0.567673086934	0.534617386778	0.689484643415	0.649748394933	0.6352594135	0.291601596391	0.614176644109	0.532014575742
Post.Propionate.7	0.56906125282	0.56255422523	0.0	0.462259239979	0.283272601076	0.828040950894	0.700329689398	0.738677771994	0.764358840881	0.770432066632	0.725490196078	0.840100642027	0.693215339233	0.744143675169	0.757591532188	0.638729828214	0.762536873156	0.774596564289	0.766267568974	0.744403956273	0.845132743363	0.820753079993	0.727832726011	0.738070449419	0.778066979004	0.417751171265	0.591271906993	0.43093874718	0.562207183758	0.683324657297	0.631008155475	0.34157556828	0.568280409509	0.605847648794	0.692434495922	0.635866736075	0.622592399792	0.646885302794	0.57513447857	0.517265313205
Post.Propionate.3	0.581467985424	0.576522644456	0.462259239979	0.0	0.444560124935	0.734426513968	0.670570883221	0.737896928683	0.683411417664	0.693822661808	0.656949505466	0.747440569148	0.647492625369	0.720111053271	0.679160159639	0.607409335416	0.685667187229	0.688617039736	0.68722887385	0.732691306611	0.742668748915	0.717595002603	0.603331598126	0.672653132049	0.713864306785	0.33958007982	0.579993059171	0.356671872289	0.593093874718	0.498872115218	0.284921048065	0.451587714732	0.423911157383	0.535137948985	0.524206142634	0.482647926427	0.525767829256	0.646191219851	0.542425819885	0.467725143155
Post.Propionate.8	0.536265833767	0.53045288912	0.283272601076	0.444560124935	0.0	0.777459656429	0.652264445601	0.743015790387	0.711348256117	0.698420961305	0.683064376193	0.783793163283	0.655648099948	0.734686795072	0.708224882874	0.617126496616	0.715773034878	0.685927468332	0.677338191914	0.74249522818	0.795766094048	0.774076002082	0.663456533056	0.698073919833	0.714384868992	0.454190525768	0.578431372549	0.472410203019	0.469980912719	0.673086933889	0.585198681242	0.341749089016	0.541211174735	0.583203192782	0.689311122679	0.649227832726	0.646798542426	0.611487072705	0.556133958008	0.534443866042
Pre.Propionate.8	0.761495748742	0.650442477876	0.828040950894	0.734426513968	0.777459656429	0.0	0.385129272948	0.533663022731	0.251952108277	0.166753427035	0.314332812771	0.208138122506	0.351205969113	0.475793857366	0.250650702759	0.530105847649	0.422262710394	0.256029845567	0.256550407774	0.492018046157	0.257418011452	0.274509803922	0.506246746486	0.360836369946	0.558129446469	0.785007808433	0.641419399618	0.79203539823	0.628145063335	0.815981259761	0.624414367517	0.759673781017	0.821533923304	0.802706923477	0.78839146278	0.843050494534	0.920093701197	0.63404476835	0.898316848863	0.877494360576
Pre.Propionate.4	0.648099947944	0.492191566892	0.700329689398	0.670570883221	0.652264445601	0.385129272948	0.0	0.432500433802	0.34079472497	0.431632830123	0.283706402915	0.306437619296	0.241454103765	0.396147839667	0.313638729828	0.348603158077	0.449678986639	0.253774076002	0.243276071491	0.394065590838	0.445774770085	0.449158424432	0.392677424952	0.429030019087	0.503296893979	0.636040256811	0.535137948985	0.648620510151	0.737463126844	0.795072011105	0.693302099601	0.723060905778	0.716987680028	0.7680895367	0.780583029672	0.780062467465	0.811469720632	0.576869685927	0.756029845567	0.768349817803
Pre.Propionate.5	0.6425472844	0.666406385563	0.738677771994	0.737896928683	0.743015790387	0.533663022731	0.432500433802	0.0	0.367343397536	0.478656949505	0.354242581989	0.474839493319	0.367950720111	0.148360229047	0.369946208572	0.484469894152	0.500607322575	0.471369078605	0.469200069408	0.102637515183	0.472930765226	0.441610272428	0.523078257852	0.329602637515	0.274770085025	0.672826652785	0.633524206143	0.683151136561	0.783532882179	0.765833767135	0.738851292729	0.782838799237	0.716380357453	0.734079472497	0.754121117474	0.757591532188	0.77902134305	0.629099427382	0.748047891723	0.732170744404
Pre.Propionate.6	0.702064896755	0.660072878709	0.764358840881	0.683411417664	0.711348256117	0.251952108277	0.34079472497	0.367343397536	0.0	0.235901440222	0.16979003991	0.255943085199	0.219937532535	0.355543987507	0.0745271559951	0.489068193649	0.340013881659	0.259066458442	0.255856324831	0.345826826306	0.346347388513	0.321794204407	0.494360576089	0.268263057435	0.448637862225	0.70796460177	0.656862745098	0.723841749089	0.625021690092	0.791254554919	0.625368731563	0.718462606281	0.759413499913	0.777633177165	0.775203886864	0.787263577998	0.865087627972	0.643501648447	0.833506854069	0.818931112268
Pre.Propionate.7	0.695471108798	0.688790560472	0.770432066632	0.693822661808	0.698420961305	0.166753427035	0.431632830123	0.478656949505	0.235901440222	0.0	0.316762103071	0.256376887038	0.358927641853	0.449678986639	0.252299149748	0.560471976401	0.418705535311	0.267308693389	0.264445601249	0.467291341315	0.316501821968	0.303314246052	0.528630921395	0.299930591706	0.461044594829	0.733211868818	0.695297588062	0.74492451848	0.617733819191	0.809040430331	0.611487072705	0.738504251258	0.770518827	0.746572965469	0.790733992712	0.812510845046	0.84929724102	0.672826652785	0.834114176644	0.805917057088
Pre.Propionate.1	0.672913413153	0.616345653306	0.725490196078	0.656949505466	0.683064376193	0.314332812771	0.283706402915	0.354242581989	0.16979003991	0.316762103071	0.0	0.269043900746	0.118254381399	0.325611660593	0.135432934236	0.419399618254	0.319191393372	0.288564983516	0.285875412112	0.329168835676	0.427641853201	0.401179941003	0.453496442825	0.352420614263	0.434669442998	0.654259934062	0.612614957487	0.671264966163	0.710654173174	0.788478223148	0.668488634392	0.707791081034	0.730782578518	0.776678813118	0.775897969807	0.771906992886	0.830990803401	0.612007634912	0.802793683845	0.790126670137
Pre.Propionate.2	0.764098559778	0.61617213257	0.840100642027	0.747440569148	0.783793163283	0.208138122506	0.306437619296	0.474839493319	0.255943085199	0.256376887038	0.269043900746	0.0	0.322661808086	0.420180461565	0.228960610793	0.51136560819	0.394499392677	0.163543293424	0.175342703453	0.434148880791	0.33020996009	0.340534443866	0.438747180288	0.380704494187	0.505986465383	0.804442130835	0.627624501128	0.814679854243	0.655127537741	0.820319278154	0.6425472844	0.770779108103	0.824744056915	0.802967204581	0.797241020302	0.849644282492	0.919139337151	0.64055179594	0.896234600035	0.880097171612
Pre.Propionate.3	0.642373763665	0.584331077564	0.693215339233	0.647492625369	0.655648099948	0.351205969113	0.241454103765	0.367950720111	0.219937532535	0.358927641853	0.118254381399	0.322661808086	0.0	0.342703453063	0.19130661114	0.381745618601	0.365781710914	0.300190872809	0.296546937359	0.338452195037	0.449939267742	0.425906645844	0.453843484296	0.369685927468	0.454884608711	0.618427902134	0.58771473191	0.630140551796	0.731303140725	0.78717681763	0.684973104286	0.711087975013	0.700589970501	0.766614610446	0.773121638036	0.763404476835	0.79611313552	0.598039215686	0.768263057435	0.763491237203
Pre.TCD.4	0.65313204928	0.610012146452	0.744143675169	0.720111053271	0.734686795072	0.475793857366	0.396147839667	0.148360229047	0.355543987507	0.449678986639	0.325611660593	0.420180461565	0.342703453063	0.0	0.342443171959	0.448637862225	0.489588755856	0.394586153045	0.388599687663	0.101769911504	0.418532014576	0.389901093181	0.439701544335	0.356411591185	0.248655214298	0.679246920007	0.571924344959	0.691393371508	0.7753774076	0.776245011279	0.730348776679	0.799149748395	0.729481173	0.720805136214	0.760281103592	0.774509803922	0.811816762103	0.602897796287	0.771039389207	0.719416970328
Pre.TCD.3	0.698681242408	0.638209266007	0.757591532188	0.679160159639	0.708224882874	0.250650702759	0.313638729828	0.369946208572	0.0745271559951	0.252299149748	0.135432934236	0.228960610793	0.19130661114	0.342443171959	0.0	0.460524032622	0.311903522471	0.241020301926	0.239198334201	0.338365434669	0.352854416103	0.326652785008	0.470674995662	0.285701891376	0.454017005032	0.698420961305	0.635346173868	0.714731910463	0.6328301232	0.789345826826	0.619989588756	0.711695297588	0.750303661288	0.774770085025	0.776158250911	0.782925559604	0.85823355891	0.618341141766	0.82413673434	0.813812250564
Pre.TCD.2	0.606541731737	0.505986465383	0.638729828214	0.607409335416	0.617126496616	0.530105847649	0.348603158077	0.484469894152	0.489068193649	0.560471976401	0.419399618254	0.51136560819	0.381745618601	0.448637862225	0.460524032622	0.0	0.395540517092	0.44152351206	0.43336803748	0.451327433628	0.491757765053	0.498178032275	0.2319104633	0.49106368211	0.547718202325	0.535918792296	0.487159465556	0.542512580253	0.735033836543	0.797067499566	0.688530279368	0.723581467985	0.678552837064	0.732517785875	0.791167794551	0.743623112962	0.728179767482	0.585806003817	0.654520215166	0.683671698768
Pre.TCD.1	0.702064896755	0.661981606802	0.762536873156	0.685667187229	0.715773034878	0.422262710394	0.449678986639	0.500607322575	0.340013881659	0.418705535311	0.319191393372	0.394499392677	0.365781710914	0.489588755856	0.311903522471	0.395540517092	0.0	0.409161894846	0.407079646018	0.47319104633	0.486031580774	0.46833246573	0.408641332639	0.402221065417	0.57756376887	0.702238417491	0.658164150616	0.717855283706	0.684712823182	0.797588061773	0.660159639077	0.724796113136	0.745271559951	0.750390421655	0.787523859101	0.767308693389	0.838105153566	0.640898837411	0.819625195211	0.796546937359
Pre.PBS.8	0.679246920007	0.53453062641	0.774596564289	0.688617039736	0.685927468332	0.256029845567	0.253774076002	0.471369078605	0.259066458442	0.267308693389	0.288564983516	0.163543293424	0.300190872809	0.394586153045	0.241020301926	0.44152351206	0.409161894846	0.0	0.060558736769	0.426513968419	0.332292208919	0.334721499219	0.35701891376	0.36066284921	0.449765747007	0.732257504772	0.554659031754	0.736769043901	0.640985597779	0.808606628492	0.622418879056	0.737636647579	0.751952108277	0.761842790213	0.790386951241	0.811296199896	0.843657817109	0.611313551969	0.816848863439	0.810515356585
Pre.PBS.7	0.664063855631	0.524813465209	0.766267568974	0.68722887385	0.677338191914	0.256550407774	0.243276071491	0.469200069408	0.255856324831	0.264445601249	0.285875412112	0.175342703453	0.296546937359	0.388599687663	0.239198334201	0.43336803748	0.407079646018	0.060558736769	0.0	0.420353982301	0.325698420961	0.33185840708	0.352507374631	0.348863439181	0.443345479785	0.722280062467	0.544161027243	0.729047371161	0.642200242929	0.807652264446	0.61860142287	0.730088495575	0.741107062294	0.755596043727	0.789519347562	0.80747874371	0.834895019955	0.598906819365	0.813118167621	0.802012840534
Pre.PBS.6	0.644456012493	0.636907860489	0.744403956273	0.732691306611	0.74249522818	0.492018046157	0.394065590838	0.102637515183	0.345826826306	0.467291341315	0.329168835676	0.434148880791	0.338452195037	0.101769911504	0.338365434669	0.451327433628	0.47319104633	0.426513968419	0.420353982301	0.0	0.438920701024	0.411157383307	0.477876106195	0.33671698768	0.283532882179	0.676644108971	0.602984556655	0.689137601943	0.780235988201	0.767829255596	0.73720284574	0.787003296894	0.72097865695	0.729828214472	0.754901960784	0.760541384695	0.788825264619	0.599947943779	0.750477182023	0.729828214472
Pre.PBS.5	0.749609578345	0.663630053791	0.845132743363	0.742668748915	0.795766094048	0.257418011452	0.445774770085	0.472930765226	0.346347388513	0.316501821968	0.427641853201	0.33020996009	0.449939267742	0.418532014576	0.352854416103	0.491757765053	0.486031580774	0.332292208919	0.325698420961	0.438920701024	0.0	0.0664584417838	0.461304875933	0.24370987333	0.475360055527	0.791428075655	0.643154606976	0.802967204581	0.623112961999	0.822575047718	0.625976054138	0.775637688704	0.815981259761	0.765139684192	0.814679854243	0.843571056741	0.901353461739	0.636994620857	0.878014922783	0.852333853896
Pre.PBS.4	0.716987680028	0.667707791081	0.820753079993	0.717595002603	0.774076002082	0.274509803922	0.449158424432	0.441610272428	0.321794204407	0.303314246052	0.401179941003	0.340534443866	0.425906645844	0.389901093181	0.326652785008	0.498178032275	0.46833246573	0.334721499219	0.33185840708	0.411157383307	0.0664584417838	0.0	0.465556133958	0.199288564984	0.449071664064	0.7680895367	0.651310081555	0.775724449072	0.62224535832	0.817109144543	0.608016657991	0.755596043727	0.794638209266	0.746746486205	0.813899010932	0.82656602464	0.871507895193	0.628925906646	0.847562033663	0.828908554572
